optionid,productid,catalogid,category_id,featurecaption,featuretype,featurerequired,sorting,url,info,featureid,featurename,featureprice,sorting,partnumber,imagepath,selected,hidden,optcatalogid,qty,thumbpath,colorcode
"117","AN-1200","85","0","Cameras","DropImage","1","0","","","494","8 x ID-4362 - 720TVL Indoor Domes / 4 x CD-8322 -700TVL Outdoor Domes","80","4","-IH8ED4","assets/images/Products/Cameras/Options/IHED.jpg","0","0","0","1",,
,,,,,,,,,,"495","12 x CD-9362 - 720TVL Outdoor Bullets with Long-Range IR","1080","2","-LH","assets/images/Products/Cameras/CD9362/CD-9361_2_500x375.jpg","0","0","0","1",,
,,,,,,,,,,"496","12 x CD-8322 - 700TVL Outdoor Domes","0","0","-ED","assets/images/Products/Cameras/CD-8161/CD-8161_1_500x375.jpg","1","0","0","1",,
,,,,,,,,,,"497","12 x ID-4362 - 720TVL Indoor Domes","120","1","-IH","assets/images/Products/Cameras/ID-4261/ID-4261_1_500x375.jpg","0","0","0","1",,
,,,,,,,,,,"498","4 x ID-4362 - 720TVL Indoor Domes / 8 x CD-8322 - 700TVL Outdoor Domes","40","3","-IH4ED8","assets/images/Products/Cameras/Options/IHED.jpg","0","0","0","1",,
,,,,,,,,,,"499","8 x ID-4362 - 720TVL Indoor Domes / 4 x CD-9362 - 720TVL Outdoor Bullets with Long-Range IR","440","6","-IH8LH4","assets/images/Products/Cameras/Options/IHLH.jpg","0","0","0","1",,
,,,,,,,,,,"500","4 x ID-4362 - 720TVL Indoor Domes / 8 x CD-9362 - 720TVL Outdoor Bullets with Long-Range IR","760","7","-IH4LH8","assets/images/Products/Cameras/Options/IHLH.jpg","0","0","0","1",,
"118","AN-1200","85","0","Hard Drive Size","Dropdown","1","1","","","501","2 TB Hard Drive Installed","80","2","+2TB",,"0","0","0","1",,
,,,,,,,,,,"502","1 TB Hard Drive Installed","50","1","+1TB",,"0","0","0","1",,
,,,,,,,,,,"503","500 GB Hard Drive Installed","0","0","+500GB",,"1","0","0","1",,
,,,,,,,,,,"504","4 TB Hard Drives (2 x 2TB)","250","3","+4TB",,"0","0","0","1",,
,,,,,,,,,,"505","6 TB Hard Drives (3 x 2TB)","375","4","+6TB",,"0","0","0","1",,
,,,,,,,,,,"506","8 TB Hard Drives (4 x 2TB)","500","5","+8TB",,"0","0","0","1",,
"120","AN-1200","85","0","Power Supply","Radio","1","3","","","512","Multi-Camera Regulated Power Box","165","1","+PWR16-12",,"0","0","0","1",,
,,,,,,,,,,"513","Individual Power Adapters","0","0",,,"1","0","0","1",,
"123","AN-1600","86","0","Cable Lengths","Radio","1","2","","","529","200 Feet per camera","240","4","+200",,"0","0","0","1",,
,,,,,,,,,,"530","150 Feet per camera","160","3","+150",,"0","0","0","1",,
,,,,,,,,,,"531","100 Feet per camera","80","2","+100",,"0","0","0","1",,
,,,,,,,,,,"532","60 Feet per camera","40","1","+60",,"0","0","0","1",,
,,,,,,,,,,"533","25 Feet per camera","0","0",,,"1","0","0","1",,
"121","AN-1600","86","0","Cameras","DropImage","1","0","","","514","8 x ID-4362 - 720TVL Indoor Domes / 8 x CD-8322 - 700TVL Outdoor Domes","80","4","-IH8ED8","assets/images/Products/Cameras/Options/IHED.jpg","0","0","0","1",,
,,,,,,,,,,"515","12 x ID-4362 - 720TVL Indoor Domes / 4 x CD-8322 -700TVL Outdoor Domes","120","5","-IH12ED4","assets/images/Products/Cameras/Options/IHED.jpg","0","0","0","1",,
,,,,,,,,,,"516","16 x CD-9362 - 720TVL Outdoor Bullets with Long-Range IR","1440","2","-LH","assets/images/Products/Cameras/CD9362/CD-9361_2_500x375.jpg","0","0","0","1",,
,,,,,,,,,,"517","16 x CD-8322 - 700TVL Outdoor Domes","0","0","-ED","assets/images/Products/Cameras/CD-8161/CD-8161_1_500x375.jpg","1","0","0","1",,
,,,,,,,,,,"518","16 x ID-4362 - 720TVL Indoor Domes","160","1","-IH","assets/images/Products/Cameras/ID-4261/ID-4261_1_500x375.jpg","0","0","0","1",,
,,,,,,,,,,"519","4 x ID-4362 - 720TVL Indoor Domes / 12 x CD-8322 - 700TVL Outdoor Domes","40","3","-IH4ED12","assets/images/Products/Cameras/Options/IHED.jpg","0","0","0","1",,
,,,,,,,,,,"520","12 x ID-4362 - 720TVL Indoor Domes / 4 x CD-9362 - 720TVL Outdoor Bullets with Long-Range IR","480","6","-IH12LH4","assets/images/Products/Cameras/Options/IHLH.jpg","0","0","0","1",,
,,,,,,,,,,"521","8 x ID-4362 - 720TVL Indoor Domes / 8 x CD-9362 - 720TVL Outdoor Bullets with Long-Range IR","800","7","-IH8LH8","assets/images/Products/Cameras/Options/IHLH.jpg","0","0","0","1",,
,,,,,,,,,,"522","4 x ID-4362 - 720TVL Indoor Domes / 12 x CD-9362 - 720TVL Outdoor Bullets with Long-Range IR","1120","8","-IH4LH12","assets/images/Products/Cameras/Options/IHLH.jpg","0","0","0","1",,
"122","AN-1600","86","0","Hard Drive Size","Dropdown","1","1","","","523","2 TB Hard Drive Installed","80","2","+2TB",,"0","0","0","1",,
,,,,,,,,,,"524","1 TB Hard Drive Installed","50","1","+1TB",,"0","0","0","1",,
,,,,,,,,,,"525","500 GB Hard Drive Installed","0","0","+500GB",,"1","0","0","1",,
,,,,,,,,,,"526","4 TB Hard Drives (2 x 2TB)","250","3","+4TB",,"0","0","0","1",,
,,,,,,,,,,"527","6 TB Hard Drives (3 x 2TB)","375","4","+6TB",,"0","0","0","1",,
,,,,,,,,,,"528","8 TB Hard Drives (4 x 2TB)","500","5","+8TB",,"0","0","0","1",,
"124","AN-1600","86","0","Power Supply","Radio","1","3","","","534","Multi-Camera Regulated Power Box","165","1","+PWR16-12",,"0","0","0","1",,
,,,,,,,,,,"535","Individual Power Adapters","0","0",,,"1","0","0","1",,
"173","AN-400","92","0","Cable Lengths","Radio","1","2","","","776","200 Feet per camera","120","4","+200",,"0","0","0","1",,
,,,,,,,,,,"777","150 Feet per camera","80","3","+150",,"0","0","0","1",,
,,,,,,,,,,"778","100 Feet per camera","40","2","+100",,"0","0","0","1",,
,,,,,,,,,,"779","60 Feet per camera","20","1","+60",,"0","0","0","1",,
,,,,,,,,,,"780","25 Feet per camera","0","0",,,"1","0","0","1",,
"171","AN-400","92","0","Cameras","DropImage","1","0","","","764","2 x ID-4362 - 720TVL Indoor Domes / 2 x CD-9362 - 720TVL Outdoor Bullets with Long-Range IR","180","4","-IHLH","assets/images/Products/Cameras/Options/IHLH.jpg","0","0","0","1",,
,,,,,,,,,,"765","2 x ID-4362 - 720TVL Indoor Domes / 2 x CD-8322 - 700TVL Outdoor Domes","20","3","-IHED","assets/images/Products/Cameras/Options/IHED.jpg","0","0","0","1",,
,,,,,,,,,,"766","4 x CD-9362 - 720TVL Outdoor Bullets with Long-Range IR","360","2","-LH","assets/images/Products/Cameras/CD9362/CD-9361_2_500x375.jpg","0","0","0","1",,
,,,,,,,,,,"767","4 x CD-8322 - 700TVL Outdoor Domes","0","0","-ED","assets/images/Products/Cameras/CD-8161/CD-8161_1_500x375.jpg","1","0","0","1",,
,,,,,,,,,,"768","4 x ID-4362 - 720TVL Indoor Domes","40","1","-IH","assets/images/Products/Cameras/ID-4261/ID-4261_1_500x375.jpg","0","0","0","1",,
,,,,,,,,,,"769","1 x ID-4362 - 720TVL Indoor Domes / 3 x CD-8322 -700TVL Outdoor Domes","10","5","-IH1ED3","assets/images/Products/Cameras/Options/IHED.jpg","0","0","0","1",,
,,,,,,,,,,"770","1 x ID-4362 - 720TVL Indoor Domes / 3 x CD-9362 - 720TVL Outdoor Bullets with Long-Range IR","280","6","-IH1LH3","assets/images/Products/Cameras/Options/IHLH.jpg","0","0","0","1",,
,,,,,,,,,,"771","3 x ID-4362 - 720TVL Indoor Domes / 1 x CD-8322 - 700TVL Outdoor Domes","30","7","-IH3ED1","assets/images/Products/Cameras/Options/IHED.jpg","0","0","0","1",,
,,,,,,,,,,"772","3 x ID-4362 - 720TVL Indoor Domes / 1 x CD-9362 - 720TVL Outdoor Bullets with Long-Range IR","120","8","-IH3LH1","assets/images/Products/Cameras/Options/IHLH.jpg","0","0","0","1",,
"172","AN-400","92","0","Hard Drive Size","Dropdown","1","1","","","773","2 TB Hard Drive Installed","80","2","+2TB",,"0","0","0","1",,
,,,,,,,,,,"774","1 TB Hard Drive Installed","50","1","+1TB",,"0","0","0","1",,
,,,,,,,,,,"775","500 GB Hard Drive Installed","0","0","+500GB",,"1","0","0","1",,
"174","AN-400","92","0","Power Supply","Radio","1","3","","","781","Multi-Camera Regulated Power Box","74","1","+PWR4-12",,"0","0","0","1",,
,,,,,,,,,,"782","Individual Power Adapters","0","0",,,"1","0","0","1",,
"1428","HD-206","98","0","Cable Lengths","Radio","1","2","","","5998","No Cable","0","0",,,"1","0","0","1",,
,,,,,,,,,,"5999","1000' Box CAT-5 Cable w/RJ-45 Connectors","85","1","+CAT5",,"0","0","0","1",,
"1426","HD-206","98","0","Cameras","DropImage","1","0","","","5989","2 x HD-5217 1080P Weatherproof Bullet Cameras with IR","0","0","-BH","assets/images/Products/Cameras/HDB-5212/HDB-5212-2_thumb.jpg","1","0","0","1",,
,,,,,,,,,,"5990","2 x HD-4217 1080P MicroDomes","0","1","-IH","assets/images/Products/Cameras/HD-4110/HD-4110_1_500x333.jpg","0","0","0","1",,
,,,,,,,,,,"5991","2 x HD-8217 1080P Turret Cameras with Infrared","40","2","-TH","assets/images/Products/Cameras/HD-IP/TH.jpg","0","0","0","1",,
"1429","HD-206","98","0","PoE Switch","Radio","1","3","","","6000","4-Port PoE Switch (100Mbps)","0","0",,,"1","0","0","1",,
,,,,,,,,,,"6001","4-Port PoE Switch (1Gbps)","50","1","+PoEGB",,"0","0","0","1",,
"1427","HD-206","98","0","Recording","DropImage","1","1","","","5992","AVM Lite Software (7-Days Rolling Recording)","0","0",,"assets/images/Products/AVM/Video_DVD_250x250.jpg","1","0","0","1",,
,,,,,,,,,,"5993","AVM Software (4-IP Licenses)","200","1","+AVM4","assets/images/Products/AVM/Video_DVD_250x250.jpg","0","0","0","1",,
,,,,,,,,,,"5994","MicroNVR (2TB) + 4 Licenses","1299","3","+Gold2TB","assets/images/Products/PCs/MicroNVR.jpg","0","0","0","1",,
,,,,,,,,,,"5995","MicroNVR (4TB) + 4 Licenses","1399","4","+Micro4TB","assets/images/Products/PCs/micronvr_thumbnail.jpg","0","0","0","1",,
,,,,,,,,,,"5996","MicroNVR Platinum (4TB) + 4 Licenses","1799","5","+Platinum4TB","assets/images/Products/PCs/hdvr_1_thumbnail.jpg","0","0","0","1",,
,,,,,,,,,,"5997","MicroNVR (1TB) + 4 Licenses","1199","2","+Silver1TB","assets/images/Products/PCs/MicroNVR.jpg","0","0","0","1",,
"1440","HD-406","99","0","Cable Lengths","Radio","1","2","","","6046","No Cable","0","0",,,"1","0","0","1",,
,,,,,,,,,,"6047","1000' Box CAT-5 Cable w/RJ-45 Connectors","85","1","+CAT5",,"0","0","0","1",,
"1438","HD-406","99","0","Cameras","DropImage","1","0","","","6037","4 x HDB-5217 1080P IR Bullet Cameras","0","0","-BH","assets/images/Products/Cameras/HD-IP/BH.jpg","1","0","0","1",,
,,,,,,,,,,"6038","4 x HD-4217 1080P MicroDomes","0","1","-IH","assets/images/Products/Cameras/HD-IP/IH.jpg","0","0","0","1",,
,,,,,,,,,,"6039","4 x HD-8217 1080P Turret Cameras","80","2","-TH","assets/images/Products/Cameras/HD-8x17/HD-8x17_1.jpg","0","0","0","1",,
"1441","HD-406","99","0","PoE Switch","Radio","1","3","","","6048","4-Port PoE Switch (100Mbps)","0","0",,,"0","0","0","1",,
,,,,,,,,,,"6049","4-Port PoE Switch (1Gbps)","50","1","+PoEGB",,"0","0","0","1",,
"1439","HD-406","99","0","Recording","DropImage","1","1","","","6040","AVM Lite Software (7-Days Rolling Recording)","0","0",,"assets/images/Products/AVM/Video_DVD_250x250.jpg","1","0","0","1",,
,,,,,,,,,,"6041","AVM Software (4-IP Licenses)","200","1","+AVM4","assets/images/Products/AVM/Video_DVD_250x250.jpg","0","0","0","1",,
,,,,,,,,,,"6042","MicroNVR (1TB) + 4 Licenses","1199","2","+Micro1TB","assets/images/Products/PCs/MicroNVR.jpg","0","0","0","1",,
,,,,,,,,,,"6043","MicroNVR (2TB) + 4 Licenses","1299","3","+Micro2TB","assets/images/Products/PCs/MicroNVR.jpg","0","0","0","1",,
,,,,,,,,,,"6044","MicroNVR (4TB) + 4 Licenses","1399","4","+Micro4TB","assets/images/Products/PCs/micronvr_thumbnail.jpg","0","0","0","1",,
,,,,,,,,,,"6045","MicroNVR Platinum (4TB) + 4 Licenses","1799","5","+Platinum4TB","assets/images/Products/PCs/hdvr_1_thumbnail.jpg","0","0","0","1",,
"1516","HD-806","100","0","Cable Lengths","Radio","1","2","","","6462","No Cable","0","0",,,"1","0","0","1",,
,,,,,,,,,,"6463","1000' Box CAT-5 Cable w/RJ-45 Connectors","85","1","+CAT5",,"0","0","0","1",,
"1514","HD-806","100","0","Cameras","DropImage","1","0","","","6445","8 x HDB-5217 1080P HD IR Bullet Cameras","0","0","-BH","assets/images/Products/Cameras/HD-IP/BH.jpg","1","0","0","1",,
,,,,,,,,,,"6446","8 x HD-4217 1080P MicroDomes","0","1","-IH","assets/images/Products/Cameras/HD-IP/IH.jpg","0","0","0","1",,
,,,,,,,,,,"6447","2 x HD-4217 Domes + 6 x HD-5217 Bullets","0","8","-IH2BH6","assets/images/Products/Cameras/HD-IP/IHBH.jpg","0","0","0","1",,
,,,,,,,,,,"6448","2 x HD-4217 Domes + 6 x HD-8217 Turrets","120","7","-IH2TH6","assets/images/Products/Cameras/HD-IP/IHTH.jpg","0","0","0","1",,
,,,,,,,,,,"6449","4 x HD-4217 Domes + 4 x HD-5217 Bullets","0","6","-IH4BH4","assets/images/Products/Cameras/HD-IP/IHBH.jpg","0","0","0","1",,
,,,,,,,,,,"6450","4 x HD-4217 Domes + 4 x HD-8217 Turrets","80","5","-IH4TH4","assets/images/Products/Cameras/HD-IP/IHTH.jpg","0","0","0","1",,
,,,,,,,,,,"6451","6 x HD-4217 Domes + 2 x HDB-5217 1080P Bullets","0","4","-IH6BH2","assets/images/Products/Cameras/HD-IP/IHBH.jpg","0","0","0","1",,
,,,,,,,,,,"6452","6 x HD-4217 Domes + 2 x HD-8217 Turrets","40","3","-IH6TH2","assets/images/Products/Cameras/HD-IP/IHTH.jpg","0","0","0","1",,
,,,,,,,,,,"6453","8 x HD-8217 1080P Turret Cameras","160","2","-TH","assets/images/Products/Cameras/HD-IP/TH.jpg","0","0","0","1",,
"1517","HD-806","100","0","PoE Switch","Radio","1","3","","","6464","2 x 4-Port PoE Switch (100Mbps)","0","0",,,"0","0","0","1",,
,,,,,,,,,,"6465","2 x 4-Port PoE Switch (1Gbps)","100","1","+PoEGB",,"0","0","0","1",,
"1515","HD-806","100","0","Recording","DropImage","1","1","","","6454","AVM Software (8-IP Licenses)","0","0",,"assets/images/Products/AVM/Video_DVD_250x250.jpg","1","0","0","1",,
,,,,,,,,,,"6455","MicroNVR (1TB)","1199","1","+Micro1TB","assets/images/Products/PCs/MicroNVR.jpg","0","0","0","1",,
